codigo_concorrente;dias_semana;manha;tarde;noite
104027309658909;0;1.0;1.75;2.0
104027309658909;1;4.5;2.0;2.0
104027309658909;2;1.0;1.5;1.0
104027309658909;3;;1.0;
104027309658909;4;;1.0;
104027309658909;5;3.0;1.0;
104027309658909;6;;2.0;2.0
195655223793145;0;2.0;1.8;2.0
195655223793145;1;2.0;5.25;2.0
195655223793145;2;2.0;2.0;1.3333333333333333
195655223793145;3;1.5;;1.0
195655223793145;4;;1.5;
195655223793145;5;1.0;1.6666666666666667;1.5
195655223793145;6;1.0;2.3333333333333335;2.6666666666666665
459544524108957;0;5.6;3.8;2.25
459544524108957;1;2.75;4.333333333333333;2.6666666666666665
459544524108957;2;5.0;3.0;4.5
459544524108957;3;5.25;4.25;3.25
459544524108957;4;3.25;1.6;2.75
459544524108957;5;2.0;4.5;3.0
459544524108957;6;3.0;3.6;4.4
557361084467209;0;2.75;1.5;
557361084467209;1;;1.0;
557361084467209;2;4.0;1.3333333333333333;3.3333333333333335
557361084467209;3;3.0;1.0;4.25
557361084467209;4;2.5;5.75;4.5
557361084467209;5;1.5;1.0;6.0
557361084467209;6;7.0;1.0;
650509405109544;0;13.5;2.0;3.0
650509405109544;1;7.5;2.0;2.3333333333333335
650509405109544;2;1.6666666666666667;1.0;2.0
650509405109544;3;3.0;2.5;4.0
650509405109544;4;2.0;2.0;2.5
650509405109544;5;3.6666666666666665;1.5;3.0
650509405109544;6;1.0;2.5;4.0
925770857563321;0;;1.0;
925770857563321;1;2.5;1.5;
925770857563321;4;2.0;;
925770857563321;5;;1.0;
1637714039783369;0;4.75;1.6666666666666667;3.0
1637714039783369;1;3.8;4.75;5.666666666666667
1637714039783369;2;2.0;2.0;3.5
1637714039783369;3;1.0;;3.6666666666666665
1637714039783369;4;1.5;3.0;4.0
1637714039783369;5;4.5;1.75;5.25
1637714039783369;6;3.5;2.5;3.6
